Player Name,Kills,Deaths,K/D Ratio,+/-,Maps Played
⁠⁠Cellium,394,275,1.433,119,20
⁠⁠HyDra,406,339,1.198,67,21
⁠⁠SlasheR,337,299,1.127,38,20
⁠⁠aBeZy,378,342,1.105,36,20
⁠⁠Octane,180,145,1.241,35,10
⁠⁠Skyz,309,281,1.1,28,21
⁠⁠Envoy,187,166,1.127,21,10
⁠⁠Owakening,194,177,1.096,17,12
⁠⁠Ghosty,226,210,1.076,16,13
⁠⁠KiSMET,368,355,1.037,13,21
⁠⁠Scrappy,291,283,1.028,8,17
⁠⁠Pred,307,300,1.023,7,18
⁠⁠Attach,127,121,1.05,6,9
⁠⁠Insight,237,232,1.022,5,17
⁠⁠Drazah,159,156,1.019,3,10
⁠⁠Beans,200,199,1.005,1,12
⁠⁠Dashy,200,205,0.976,-5,13
⁠⁠Snoopy,202,211,0.957,-9,12
⁠⁠Sib,287,297,0.966,-10,18
⁠⁠Shotzzy,224,236,0.949,-12,13
⁠⁠Cammy,136,148,0.919,-12,9
⁠⁠Priestahh,289,306,0.944,-17,21
⁠⁠Fame,125,146,0.856,-21,9
⁠⁠Kenny,146,168,0.869,-22,10
⁠⁠Huke,218,244,0.893,-26,13
⁠⁠CleanX,277,305,0.908,-28,17
⁠⁠Kremp,181,210,0.862,-29,12
⁠⁠Simp,345,378,0.913,-33,20
⁠⁠Mack,300,333,0.901,-33,18
⁠⁠Bance,117,156,0.75,-39,9
⁠⁠Hicksy,224,284,0.789,-60,17
⁠⁠Accuracy,242,309,0.783,-67,18
