Player Name,Kills,Deaths,K/D Ratio,+/-,Maps Played
⁠⁠HyDra,518,456,1.136,62,26
⁠⁠Pred,374,314,1.191,60,19
⁠⁠Shotzzy,364,311,1.17,53,19
⁠⁠Envoy,378,346,1.093,32,20
⁠⁠Abuzah,211,179,1.179,32,10
⁠⁠Scrappy,400,370,1.081,30,20
⁠⁠Sib,480,451,1.064,29,26
⁠⁠Simp,257,229,1.122,28,12
⁠⁠Ghosty,322,295,1.092,27,17
⁠⁠Cellium,215,194,1.108,21,12
⁠⁠aBeZy,249,241,1.033,8,12
⁠⁠Insight,301,295,1.02,6,20
⁠⁠Kenny,313,313,1.0,0,19
⁠⁠Dashy,305,307,0.994,-2,19
⁠⁠Drazah,224,226,0.991,-2,12
⁠⁠Huke,166,170,0.977,-4,10
⁠⁠Nastie,286,294,0.973,-8,17
⁠⁠MettalZ,214,222,0.964,-8,12
⁠⁠Vikul,235,243,0.967,-8,12
⁠⁠Fame,98,108,0.907,-10,6
⁠⁠Lucky,223,235,0.949,-12,12
⁠⁠Flames,88,100,0.88,-12,6
⁠⁠CleanX,347,364,0.953,-17,20
⁠⁠Breszy,163,180,0.906,-17,10
⁠⁠Estreal,90,112,0.804,-22,6
⁠⁠Diamondcon,94,120,0.783,-26,6
⁠⁠Kremp,296,323,0.916,-27,17
⁠⁠JoeDeceives,302,331,0.912,-29,17
⁠⁠04,172,203,0.847,-31,10
⁠⁠ReeaL,204,237,0.861,-33,12
⁠⁠Skyz,389,429,0.907,-40,26
⁠⁠KiSMET,405,494,0.82,-89,26
